LocationNormalized,CustomerID,total_spent,transactions,city_rank
KARPEWADI KALYAN E,C1222547,50000.0,1,1
KOLHAPUR,C7337125,50000.0,1,1
MANDI GOBINDGARH,C2026047,50000.0,1,1
MEDAK,C2729934,50000.0,1,1
MYSORE,C5321279,50000.0,1,1
MYSORE RD BANGALORE,C3322447,50000.0,1,1
NAROLI,C2312962,50000.0,1,1
OPP GOVT SCHOOL BANGALORE RURAL,C2333540,50000.0,1,1
OUTERRING ROAD BANGLORE,C3826335,50000.0,1,1
ROORKEE,C6429213,50000.0,1,1
SALEM,C1718722,50000.0,1,1
SARJAPUR HOBLI ANEKAR TAL BANGALORE,C3624967,50000.0,1,1
SATARA,C2940979,50000.0,1,1
SEONI MALWA,C3017838,50000.0,1,1
SIEMENS SHOWROOM BANGALORE,C5633282,50000.0,1,1
SUNNYVALE,C2326348,50000.0,1,1
SURREY,C2125683,50000.0,1,1
TRIVANDRUM TRIVANDRUM,C2012265,50000.0,1,1
USHAGRAM BARDHAMAN ASANSOL,C4635883,50000.0,1,1
VIRAMGAM,C6538040,50000.0,1,1
WEST DELHI DELHI,C2727968,50000.0,1,1
KANGRA,C4242890,49999.0,1,1
MARKET HYDERABAD,C2616924,49999.0,1,1
BHUBANESWAR,C7342847,49913.0,1,1
GURUJI SCHOOL KALEWADI PUNE PUNE,C7931049,49500.0,1,1
MAHENDRAGARH,C7819013,49250.0,1,1
NADIAD,C1976236,49250.0,1,1
RIASI,C2829928,49000.0,1,1
BURDWAN,C1137164,48762.0,1,1
AL QUOZ IND 3,C6142888,48650.0,1,1
PUMP VASHI NAKA CHEMBUR MUMBAI,C8319091,48341.0,1,1
THIROVANANTHA PURAM,C4442625,47990.0,1,1
ANTWERPEN,C4737225,47681.0,1,1
KUALA BELAIT,C7333817,47647.0,1,1
MIRAMAR PANAJI,C5422621,47500.0,1,1
NORTH WEST DELHI,C4330625,47397.0,1,1
PO NONGTHYMAI,C2317785,47292.0,1,1
ALWAR,C7223254,47250.0,1,1
OPP HERITAGE BANGALORE,C1418616,47124.0,1,1
ERODE,C1111945,46705.0,1,1
SHILLONG,C2526743,46450.0,1,1
STAFFORD,C4421676,46354.0,1,1
AXIS BANK HYDERABAD,C4742739,46000.0,1,1
NSW,C2717731,45933.0,1,1
BARDHAMAN DURGAPUR,C7319938,45825.0,1,1
KALYANI,C7012568,45751.0,1,1
RAJAHMUNDRY,C3432528,45680.0,1,1
BACK SIDE BANGALORE,C3924732,45592.35,1,1
CALCUTTA,C4041358,45400.0,1,1
NEVILLE HOUSE MUMBAI,C3925112,45271.0,1,1
DWARKA NEW DELHI,C6212017,45000.0,1,1
GANGTOK,C5141717,45000.0,1,1
PHOENIX HOSPITAL MUMBAI,C3687286,45000.0,1,1
THOOTHUKUDI,C8911031,45000.0,1,1
